time,open,high,low,close,volume
2026-06-30T14:46:00Z,744.64,744.65,743.98,744.01,131817
2026-06-30T14:48:00Z,743.99,744.12,743.65,743.87,82581
2026-06-30T14:50:00Z,743.89,744.27,743.82,744.06,106785
2026-06-30T14:52:00Z,744.07,744.09,743.63,743.71,124892
2026-06-30T14:54:00Z,743.71,743.77,743.2,743.54,115724
2026-06-30T14:56:00Z,743.54,743.72,743.08,743.19,102209
2026-06-30T14:58:00Z,743.16,743.48,742.93,743.32,77691
2026-06-30T15:00:00Z,743.32,744.07,743.24,744.04,135388
2026-06-30T15:02:00Z,744.04,744.32,743.92,744.22,79358
2026-06-30T15:04:00Z,744.21,744.25,743.99,744.12,97736
2026-06-30T15:06:00Z,744.13,744.23,743.8,744.11,73681
2026-06-30T15:08:00Z,744.12,744.51,744.12,744.43,98688
2026-06-30T15:10:00Z,744.44,744.61,744.33,744.36,113955
2026-06-30T15:12:00Z,744.37,744.92,744.35,744.9,142093
2026-06-30T15:14:00Z,744.9,744.92,744.49,744.56,99606
2026-06-30T15:16:00Z,744.55,744.66,744.41,744.43,86695
2026-06-30T15:18:00Z,744.43,744.57,744.36,744.55,57484
2026-06-30T15:20:00Z,744.55,745.01,744.53,744.84,115044
2026-06-30T15:22:00Z,744.83,745.22,744.82,745.09,67972
2026-06-30T15:24:00Z,745.1,745.25,745,745.25,71489
2026-06-30T15:26:00Z,745.23,745.35,744.98,745.26,83708
2026-06-30T15:28:00Z,745.25,745.36,745.1,745.26,161430
2026-06-30T15:30:00Z,745.28,745.33,745.05,745.15,86600
2026-06-30T15:32:00Z,745.16,745.35,745.13,745.14,78185
2026-06-30T15:34:00Z,745.15,745.48,745.12,745.17,174336
2026-06-30T15:36:00Z,745.18,745.18,744.97,744.99,104610
2026-06-30T15:38:00Z,744.99,745.04,744.85,744.94,80130
2026-06-30T15:40:00Z,744.95,745.25,744.79,745.19,75060
2026-06-30T15:42:00Z,745.19,745.2,744.93,745.06,74110
2026-06-30T15:44:00Z,745.04,745.39,744.99,745.39,55021
2026-06-30T15:46:00Z,745.39,745.69,745.37,745.53,103139
2026-06-30T15:48:00Z,745.52,745.58,745.35,745.42,73030
2026-06-30T15:50:00Z,745.43,745.58,745.28,745.36,105188
2026-06-30T15:52:00Z,745.36,745.68,745.28,745.67,52639
2026-06-30T15:54:00Z,745.66,745.9,745.62,745.88,123144
2026-06-30T15:56:00Z,745.88,746,745.85,745.95,116313
2026-06-30T15:58:00Z,745.95,745.98,745.7,745.79,118980
2026-06-30T16:00:00Z,745.8,746.15,745.76,746.09,188882
2026-06-30T16:02:00Z,746.09,746.14,745.96,746.04,99680
2026-06-30T16:04:00Z,746.03,746.17,745.92,746.15,120518
